baker,last_name,series,baker_age,baker_occupation,hometown,episode,technical,result,signature_bake,show_stopper
alvin,Magallanes,6,37,Nurse,"Bracknell, Berkshire",7,NA,NA,NA,NA
alvin,Magallanes,6,37,Nurse,"Bracknell, Berkshire",8,NA,NA,NA,NA
alvin,Magallanes,6,37,Nurse,"Bracknell, Berkshire",9,NA,NA,NA,NA
alvin,Magallanes,6,37,Nurse,"Bracknell, Berkshire",10,NA,NA,NA,NA
amelia,LeBruin,10,24,Fashion designer,Halifax,1,4,IN,NA,NA
amelia,LeBruin,10,24,Fashion designer,Halifax,2,9,IN,NA,NA
amelia,LeBruin,10,24,Fashion designer,Halifax,3,11,OUT,NA,NA
amelia,LeBruin,10,24,Fashion designer,Halifax,4,NA,NA,NA,NA
amelia,LeBruin,10,24,Fashion designer,Halifax,5,NA,NA,NA,NA
amelia,LeBruin,10,24,Fashion designer,Halifax,6,NA,NA,NA,NA
amelia,LeBruin,10,24,Fashion designer,Halifax,7,NA,NA,NA,NA
amelia,LeBruin,10,24,Fashion designer,Halifax,8,NA,NA,NA,NA
amelia,LeBruin,10,24,Fashion designer,Halifax,9,NA,NA,NA,NA
amelia,LeBruin,10,24,Fashion designer,Halifax,10,NA,NA,NA,NA
andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",1,12,IN,Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake
andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",2,4,IN,Beehive Biscuits,Punting in Cambridge
andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",3,2,IN,Chocolate Barmbrack Bread,Braided Harvest Bread Basket
andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",4,4,IN,Yorkshire 'Tapas' Puddings,Churros Window Box
andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",5,6,IN,Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites
andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",6,6,IN,Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio
andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",7,1,STAR BAKER,Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes
andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",8,2,IN,Da Vinci Inspired Geared Pies,Jousting Knights Marchpane
andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",9,2,STAR BAKER,Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants
andrew,Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down",10,1,Runner-up,Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic
annetha,Mills,1,30,Midwife,Essex,1,2,IN,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream"
annetha,Mills,1,30,Midwife,Essex,2,7,OUT,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs
annetha,Mills,1,30,Midwife,Essex,3,NA,NA,NA,NA
annetha,Mills,1,30,Midwife,Essex,4,NA,NA,NA,NA
annetha,Mills,1,30,Midwife,Essex,5,NA,NA,NA,NA
annetha,Mills,1,30,Midwife,Essex,6,NA,NA,NA,NA
antony,Amourdoux,9,30,Banker,London,1,12,IN,NA,NA
antony,Amourdoux,9,30,Banker,London,2,9,IN,NA,NA
antony,Amourdoux,9,30,Banker,London,3,8,OUT,NA,NA
antony,Amourdoux,9,30,Banker,London,4,NA,NA,NA,NA
antony,Amourdoux,9,30,Banker,London,5,NA,NA,NA,NA
antony,Amourdoux,9,30,Banker,London,6,NA,NA,NA,NA
antony,Amourdoux,9,30,Banker,London,7,NA,NA,NA,NA
antony,Amourdoux,9,30,Banker,London,8,NA,NA,NA,NA
antony,Amourdoux,9,30,Banker,London,9,NA,NA,NA,NA
antony,Amourdoux,9,30,Banker,London,10,NA,NA,NA,NA
beca,Lyne-Pirkis,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire",1,8,IN,Grapefruit Sandwich Cake,Chocolate Cherry Indulgence
beca,Lyne-Pirkis,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire",2,11,IN,Fennel and Chilli Breadsticks,Five Strand Christmas Wreath
beca,Lyne-Pirkis,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire",3,10,IN,Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread
beca,Lyne-Pirkis,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,2,IN,Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast
beca,Lyne-Pirkis,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire",5,5,IN,"Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece
beca,Lyne-Pirkis,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire",6,6,IN,Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns
beca,Lyne-Pirkis,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire",7,1,IN,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille
beca,Lyne-Pirkis,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire",8,4,IN,"Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake
beca,Lyne-Pirkis,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire",9,3,OUT,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,Banoffee Opera Cake
beca,Lyne-Pirkis,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire",10,NA,NA,NA,NA
ben,Frazer,2,31,Graphic Designer,Northampton,1,2,IN,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream
ben,Frazer,2,31,Graphic Designer,Northampton,2,1,IN,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts
ben,Frazer,2,31,Graphic Designer,Northampton,3,3,IN,"Walnut, Raisin and Rosemary Loaf",UNKNOWN
ben,Frazer,2,31,Graphic Designer,Northampton,4,5,OUT,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons
ben,Frazer,2,31,Graphic Designer,Northampton,5,NA,NA,NA,NA
ben,Frazer,2,31,Graphic Designer,Northampton,6,NA,NA,NA,NA
ben,Frazer,2,31,Graphic Designer,Northampton,7,NA,NA,NA,NA
ben,Frazer,2,31,Graphic Designer,Northampton,8,NA,NA,NA,NA
benjamina,Ebuehi,7,23,Teaching assistant,South London,1,6,IN,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream
benjamina,Ebuehi,7,23,Teaching assistant,South London,2,3,IN,Bouquet Biscuits,"New York, New York"
benjamina,Ebuehi,7,23,Teaching assistant,South London,3,6,IN,"Chocolate, Tahini and Almond Babka",Braided Bread Heart
benjamina,Ebuehi,7,23,Teaching assistant,South London,4,1,STAR BAKER,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros
benjamina,Ebuehi,7,23,Teaching assistant,South London,5,5,IN,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups
benjamina,Ebuehi,7,23,Teaching assistant,South London,6,2,IN,Grapefruit and Ginger Meringue Pie,Floral Tea Cake
benjamina,Ebuehi,7,23,Teaching assistant,South London,7,3,IN,Piña Colada Roulade,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake
benjamina,Ebuehi,7,23,Teaching assistant,South London,8,4,OUT,Mexican Adventure,Tudor Garden
benjamina,Ebuehi,7,23,Teaching assistant,South London,9,NA,NA,NA,NA
benjamina,Ebuehi,7,23,Teaching assistant,South London,10,NA,NA,NA,NA
brendan,Lynch,3,63,Recruitment consultant,Sutton Coldfield,1,10,IN,"Plum, Sour Cherry & Walnut",UNKNOWN
brendan,Lynch,3,63,Recruitment consultant,Sutton Coldfield,2,4,IN,Middle Eastern Taboon BreadIndian Rotis,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels"
brendan,Lynch,3,63,Recruitment consultant,Sutton Coldfield,3,9,IN,Apple and Ginger Tarte Tatin,"Blackberry, Nectarine and Dragon Fruit Tart"
brendan,Lynch,3,63,Recruitment consultant,Sutton Coldfield,4,1,STAR BAKER,Clementine and Chestnut Torte,"Pear, Chocolate and Hazelnut Dacquoise"
brendan,Lynch,3,63,Recruitment consultant,Sutton Coldfield,5,3,IN,Salmon Coulibiac in a Scandinavian Pastry,All American Chiffon Pie
brendan,Lynch,3,63,Recruitment consultant,Sutton Coldfield,6,1,STAR BAKER,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel"
brendan,Lynch,3,63,Recruitment consultant,Sutton Coldfield,7,4,IN,Chelsea Bunskis,Black Forest Christmas Stollen
brendan,Lynch,3,63,Recruitment consultant,Sutton Coldfield,8,2,IN,Multi-Seed Savoury Crackers,Fantasy Gingerbread Bird House
brendan,Lynch,3,63,Recruitment consultant,Sutton Coldfield,9,3,IN,Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets,Gateau St. Honoré
brendan,Lynch,3,63,Recruitment consultant,Sutton Coldfield,10,2,Runner-up,Potato and Pepper Pithivier,Family Reunion Chiffon Cake
briony,Williams,9,33,Full-time parent,Bristol,1,2,IN,NA,NA
briony,Williams,9,33,Full-time parent,Bristol,2,5,IN,NA,NA
briony,Williams,9,33,Full-time parent,Bristol,3,9,IN,NA,NA
briony,Williams,9,33,Full-time parent,Bristol,4,5,IN,NA,NA
briony,Williams,9,33,Full-time parent,Bristol,5,6,IN,NA,NA
briony,Williams,9,33,Full-time parent,Bristol,6,1,STAR BAKER,NA,NA
briony,Williams,9,33,Full-time parent,Bristol,7,5,IN,NA,NA
briony,Williams,9,33,Full-time parent,Bristol,8,1,IN,NA,NA
briony,Williams,9,33,Full-time parent,Bristol,9,3,OUT,NA,NA
briony,Williams,9,33,Full-time parent,Bristol,10,NA,NA,NA,NA
candice,Brown,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire",1,5,IN,Raspberry and Rhubarb Drizzle Custard Bundt Cake,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?"
candice,Brown,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire",2,8,STAR BAKER,"Salted Caramel, Chocolate Iced Shiny Hearts",Gingerbread Pub with Sticky Ginger Carpet
candice,Brown,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire",3,3,IN,"Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",Italian Light and Dark Rye Twist
candice,Brown,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire",4,2,IN,Yorkshire Wellingtons,Two-Way Peanut Butter Churros
candice,Brown,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire",5,2,STAR BAKER,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups"
candice,Brown,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire",6,5,IN,"Lime, Coconut and Lemongrass Sugar Meringue Pie",Four Seasons Cake
candice,Brown,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire",7,2,IN,Crowd Pleaser Roulade,Blackberry and Raspberry Bubbles and After Dinner Mousse
candice,Brown,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire",8,1,STAR BAKER,Cheesy Cheeky Fish Pies,Peacock
candice,Brown,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire",9,3,IN,"Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies
candice,Brown,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire",10,2,WINNER,Queen Victoria's Mango and Strawberry Crown,Picnic for Pearly Kings and Queens
cathryn,Dresser,3,27,Shop assistant,"Pease Pottage, West Sussex",1,5,IN,"Apple, Hazelnut and Calvados",Hidden Cupcake Cake
cathryn,Dresser,3,27,Shop assistant,"Pease Pottage, West Sussex",2,8,IN,"Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels"
cathryn,Dresser,3,27,Shop assistant,"Pease Pottage, West Sussex",3,3,IN,"Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart"
cathryn,Dresser,3,27,Shop assistant,"Pease Pottage, West Sussex",4,3,IN,"White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue"
cathryn,Dresser,3,27,Shop assistant,"Pease Pottage, West Sussex",5,1,IN,Full English Wellington,Chocolate and Peanut Butter Pumpkin Pie
cathryn,Dresser,3,27,Shop assistant,"Pease Pottage, West Sussex",6,3,IN,"Chocolate Walnut Whip Puddings
Elderflower Sponges",Roasted Vegetable Couscous and Sheep Cheese Strudel
cathryn,Dresser,3,27,Shop assistant,"Pease Pottage, West Sussex",7,5,IN,Lady Arundel's Manchet Buns,Bonfire Night Tear 'n' Share Brioche
cathryn,Dresser,3,27,Shop assistant,"Pease Pottage, West Sussex",8,5,OUT,Cheese and Pickle Crackers,Gingerbread Buckingham Palace
cathryn,Dresser,3,27,Shop assistant,"Pease Pottage, West Sussex",9,NA,NA,NA,NA
cathryn,Dresser,3,27,Shop assistant,"Pease Pottage, West Sussex",10,NA,NA,NA,NA
chetna,Makan,5,35,Fashion Designer,"Broadstairs, Kent",1,3,IN,"Cardamom, Pistachio and Coffee Swiss Roll",Tiered Victoria Sponges with Lemon Curd and Raspberry Cream
chetna,Makan,5,35,Fashion Designer,"Broadstairs, Kent",2,8,IN,Fenugreek and Carom Crackers,Day On The Beach
chetna,Makan,5,35,Fashion Designer,"Broadstairs, Kent",3,8,IN,Onion and Pine Nut Rolls,Rolled and Filled Twin Loaf
chetna,Makan,5,35,Fashion Designer,"Broadstairs, Kent",4,3,IN,"Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska"
chetna,Makan,5,35,Fashion Designer,"Broadstairs, Kent",5,2,IN,Rice Custard Tart with Mangoes and Raspberries,Fusion Tiered Pies
chetna,Makan,5,35,Fashion Designer,"Broadstairs, Kent",6,2,STAR BAKER,Orange Savarin with Cinnamon Cream,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream
chetna,Makan,5,35,Fashion Designer,"Broadstairs, Kent",7,6,IN,Crispy Lentil Kachori,Chocolate and Mango & Lemon Meringue Éclairs
chetna,Makan,5,35,Fashion Designer,"Broadstairs, Kent",8,1,IN,Date and Walnut Swirl Bread,Chocolate Mousse Filled DoughnutsBraided Doughnuts
chetna,Makan,5,35,Fashion Designer,"Broadstairs, Kent",9,4,OUT,Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut EntremetsCappuccino Entremets"
chetna,Makan,5,35,Fashion Designer,"Broadstairs, Kent",10,NA,NA,NA,NA
chris,Geiger,8,50,Software developer,Bristol,1,12,IN,Tropical Fresh Fruit Cake,'Raised Pork Pie and Egg Surprise' Cake
chris,Geiger,8,50,Software developer,Bristol,2,11,OUT,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,'The Great British Sail Off' Game
chris,Geiger,8,50,Software developer,Bristol,3,NA,NA,NA,NA
chris,Geiger,8,50,Software developer,Bristol,4,NA,NA,NA,NA
chris,Geiger,8,50,Software developer,Bristol,5,NA,NA,NA,NA
chris,Geiger,8,50,Software developer,Bristol,6,NA,NA,NA,NA
chris,Geiger,8,50,Software developer,Bristol,7,NA,NA,NA,NA
chris,Geiger,8,50,Software developer,Bristol,8,NA,NA,NA,NA
chris,Geiger,8,50,Software developer,Bristol,9,NA,NA,NA,NA
chris,Geiger,8,50,Software developer,Bristol,10,NA,NA,NA,NA
christine,Wallace,4,66,Director of an engraving company,"Didcot, Oxfordshire",1,3,IN,"Strawberry, Vanilla and Rosewater Summer Basket",Chocolate and Orange 'Fripperous' Hat Cake
christine,Wallace,4,66,Director of an engraving company,"Didcot, Oxfordshire",2,4,IN,Mediterranean Breadsticks with Oregano,Double Plaited Loaf
christine,Wallace,4,66,Director of an engraving company,"Didcot, Oxfordshire",3,4,STAR BAKER,Caribbean Pina Colada Trifle,Ninety-NinersSachertorte Parcels
christine,Wallace,4,66,Director of an engraving company,"Didcot, Oxfordshire",4,7,IN,"Granny Rogers' Apple, Plum & Cinnamon Country Pie",Roasted Vegetable Filo Pie with Feta Cheese
christine,Wallace,4,66,Director of an engraving company,"Didcot, Oxfordshire",5,1,STAR BAKER,Mixed Berry and Almond Crumble Traybake,Shortbread Bavarian Clock Tower
christine,Wallace,4,66,Director of an engraving company,"Didcot, Oxfordshire",6,4,IN,Oxford Nutty Fruit Loaf,Schnecken BunsVanilla Custard Skolebrød
christine,Wallace,4,66,Director of an engraving company,"Didcot, Oxfordshire",7,6,IN,Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille
christine,Wallace,4,66,Director of an engraving company,"Didcot, Oxfordshire",8,5,OUT,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant
christine,Wallace,4,66,Director of an engraving company,"Didcot, Oxfordshire",9,NA,NA,NA,NA
christine,Wallace,4,66,Director of an engraving company,"Didcot, Oxfordshire",10,NA,NA,NA,NA
yan,Tsou,8,46,Laboratory research scientist,North London,1,4,IN,Windfall Apple Crumble Cake,'Banana-ramen' Cake
yan,Tsou,8,46,Laboratory research scientist,North London,2,1,IN,'Mrs. Marian's PB 'n' B' Biscuits,'Adventures in Bakeland' Game
yan,Tsou,8,46,Laboratory research scientist,North London,3,8,IN,'Mrs P's' Masala Chai Spiced Teacakes,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture
yan,Tsou,8,46,Laboratory research scientist,North London,4,8,IN,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,Animals of the Rainforest Caramel Cake
yan,Tsou,8,46,Laboratory research scientist,North London,5,6,IN,Mango Fruit Hat Steamed School Pudding,'Heart of a Hero' Trifle Terrine
yan,Tsou,8,46,Laboratory research scientist,North London,6,1,IN,'πr2' Decorative Pies,Chequerboard Pie
yan,Tsou,8,46,Laboratory research scientist,North London,7,5,OUT,Cannoli Cocktails,Canadian-Style Sfogliatelle
yan,Tsou,8,46,Laboratory research scientist,North London,8,NA,NA,NA,NA
yan,Tsou,8,46,Laboratory research scientist,North London,9,NA,NA,NA,NA
yan,Tsou,8,46,Laboratory research scientist,North London,10,NA,NA,NA,NA
claire,Goodwin,5,31,Speech Therapist,"Ashton upon Mersey, Trafford",1,8,OUT,Chocolatey Orangey Swirly Roll,Mini Chocolate and Cherry Cakes
claire,Goodwin,5,31,Speech Therapist,"Ashton upon Mersey, Trafford",2,NA,NA,NA,NA
claire,Goodwin,5,31,Speech Therapist,"Ashton upon Mersey, Trafford",3,NA,NA,NA,NA
claire,Goodwin,5,31,Speech Therapist,"Ashton upon Mersey, Trafford",4,NA,NA,NA,NA
claire,Goodwin,5,31,Speech Therapist,"Ashton upon Mersey, Trafford",5,NA,NA,NA,NA
claire,Goodwin,5,31,Speech Therapist,"Ashton upon Mersey, Trafford",6,NA,NA,NA,NA
claire,Goodwin,5,31,Speech Therapist,"Ashton upon Mersey, Trafford",7,NA,NA,NA,NA
claire,Goodwin,5,31,Speech Therapist,"Ashton upon Mersey, Trafford",8,NA,NA,NA,NA
claire,Goodwin,5,31,Speech Therapist,"Ashton upon Mersey, Trafford",9,NA,NA,NA,NA
claire,Goodwin,5,31,Speech Therapist,"Ashton upon Mersey, Trafford",10,NA,NA,NA,NA
dan,Beasley-Harling,9,36,Full-time parent,London,1,4,IN,NA,NA
dan,Beasley-Harling,9,36,Full-time parent,London,2,3,IN,NA,NA
dan,Beasley-Harling,9,36,Full-time parent,London,3,6,IN,NA,NA
dan,Beasley-Harling,9,36,Full-time parent,London,4,1,STAR BAKER,NA,NA
dan,Beasley-Harling,9,36,Full-time parent,London,5,2,IN,NA,NA
dan,Beasley-Harling,9,36,Full-time parent,London,6,6,OUT,NA,NA
dan,Beasley-Harling,9,36,Full-time parent,London,7,NA,NA,NA,NA
dan,Beasley-Harling,9,36,Full-time parent,London,8,NA,NA,NA,NA
dan,Beasley-Harling,9,36,Full-time parent,London,9,NA,NA,NA,NA
dan,Beasley-Harling,9,36,Full-time parent,London,10,NA,NA,NA,NA
dan,Chambers,10,32,Support worker,Rotherham,1,9,OUT,NA,NA
dan,Chambers,10,32,Support worker,Rotherham,2,NA,NA,NA,NA
dan,Chambers,10,32,Support worker,Rotherham,3,NA,NA,NA,NA
dan,Chambers,10,32,Support worker,Rotherham,4,NA,NA,NA,NA
dan,Chambers,10,32,Support worker,Rotherham,5,NA,NA,NA,NA
dan,Chambers,10,32,Support worker,Rotherham,6,NA,NA,NA,NA
dan,Chambers,10,32,Support worker,Rotherham,7,NA,NA,NA,NA
dan,Chambers,10,32,Support worker,Rotherham,8,NA,NA,NA,NA
dan,Chambers,10,32,Support worker,Rotherham,9,NA,NA,NA,NA
dan,Chambers,10,32,Support worker,Rotherham,10,NA,NA,NA,NA
danny,Bryden,3,45,Intensive care consultant,Sheffield,1,7,IN,"Plum, Ginger & Orange",UNKNOWN
danny,Bryden,3,45,Intensive care consultant,Sheffield,2,3,IN,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,UNKNOWN
danny,Bryden,3,45,Intensive care consultant,Sheffield,3,2,IN,Savoury Pear and Roquefort Tarte Tatin,"Pineapple, Coconut and Frangipane Tart"
danny,Bryden,3,45,Intensive care consultant,Sheffield,4,2,IN,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise"
danny,Bryden,3,45,Intensive care consultant,Sheffield,5,7,IN,"Chickpea, Spinach & Mushroom Wellington",Trick or Treat Pumpkin Pie
danny,Bryden,3,45,Intensive care consultant,Sheffield,6,2,IN,Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants,"Leek, Potato, Pistachio and Gruyère Strudel"
danny,Bryden,3,45,Intensive care consultant,Sheffield,7,2,STAR BAKER,Bakewell Chelsea Buns,European Christmas Wreath
danny,Bryden,3,45,Intensive care consultant,Sheffield,8,4,IN,Spiced Almond Drinks Crackers,Gingerbread Big Ben
danny,Bryden,3,45,Intensive care consultant,Sheffield,9,4,OUT,Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat,Rosewater and Lychee St. Honoré
danny,Bryden,3,45,Intensive care consultant,Sheffield,10,NA,NA,NA,NA
david,Atherton,10,36,International health adviser,Whitby,1,10,IN,NA,NA
david,Atherton,10,36,International health adviser,Whitby,2,2,IN,NA,NA
david,Atherton,10,36,International health adviser,Whitby,3,2,IN,NA,NA
david,Atherton,10,36,International health adviser,Whitby,4,2,IN,NA,NA
david,Atherton,10,36,International health adviser,Whitby,5,9,IN,NA,NA
david,Atherton,10,36,International health adviser,Whitby,6,2,IN,NA,NA
david,Atherton,10,36,International health adviser,Whitby,7,2,IN,NA,NA
david,Atherton,10,36,International health adviser,Whitby,8,1,IN,NA,NA
david,Atherton,10,36,International health adviser,Whitby,9,2,IN,NA,NA
david,Atherton,10,36,International health adviser,Whitby,10,1,WINNER,NA,NA
david,Chambers,1,31,Entrepreneur,Milton Keynes,1,3,IN,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs"
david,Chambers,1,31,Entrepreneur,Milton Keynes,2,8,IN,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles
david,Chambers,1,31,Entrepreneur,Milton Keynes,3,4,IN,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun"
david,Chambers,1,31,Entrepreneur,Milton Keynes,4,5,OUT,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear"
david,Chambers,1,31,Entrepreneur,Milton Keynes,5,NA,NA,NA,NA
david,Chambers,1,31,Entrepreneur,Milton Keynes,6,NA,NA,NA,NA
deborah,Manger,4,51,Dentist,Peterborough,1,9,IN,Pineapple Cake,'Coffee Time'
